Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R64,PE1206FRM470R008L,R_1206_3216Metric,207.320001,-85.679999,0.0,top
R65,PE1206FRM470R008L,R_1206_3216Metric,207.320001,-87.97,0.0,top
R66,976k 0.1%,R_0805_2012Metric,206.5,-97.0,-90.0,top
R67,976k 0.1%,R_0805_2012Metric,206.5,-93.509999,-90.0,top
R68,17.4k 0.1%,R_0402_1005Metric,204.0,-90.5,-90.0,top
R69,100k,R_0402_1005Metric,210.0,-170.109999,90.0,bottom
R7,10k,R_0402_1005Metric,190.5,-142.5,90.0,top
R70,330,R_0402_1005Metric,213.0,-165.9,-90.0,top
R71,100k,R_0402_1005Metric,211.500002,-170.109999,90.0,bottom
R72,2.1k,R_0402_1005Metric,226.625,-173.3,270.0,bottom
R73,2.1k,R_0402_1005Metric,194.625,-173.4,270.0,bottom
R74,2.1k,R_0402_1005Metric,225.425,-173.3,270.0,bottom
R75,2.1k,R_0402_1005Metric,193.425,-173.4,270.0,bottom
R76,100k,R_0402_1005Metric,205.6,-177.9,90.0,top
R77,100k,R_0402_1005Metric,206.9,-177.9,90.0,top
R78,330,R_0402_1005Metric,208.2,-177.9,90.0,top
R79,330,R_0402_1005Metric,207.5,-165.9,-90.0,top
R8,26.1k,R_0402_1005Metric,201.0,-147.25,90.0,top
R80,100k,R_0402_1005Metric,214.9,-171.7,270.0,bottom
R81,100k,R_0402_1005Metric,216.0,-171.690001,270.0,bottom
R82,100k,R_0402_1005Metric,234.5,-167.05,180.0,bottom
R83,100k,R_0402_1005Metric,234.5,-173.25,0.0,bottom
R84,100k,R_0402_1005Metric,234.5,-172.0,0.0,bottom
R85,330,R_0402_1005Metric,204.4,-177.9,90.0,top
R86,100k,R_0402_1005Metric,209.4,-177.9,-90.0,top
R87,100k,R_0402_1005Metric,210.7,-177.9,-90.0,top
R9,1k,R_0402_1005Metric,200.0,-147.25,-90.0,top
U1,TLV70030_SOT353,SOT-353_SC-70-5,192.7,-161.6,180.0,top
U2,TPS7B86,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm,195.0,-146.5,180.0,top
U3,STM32G474VETx,LQFP-100_14x14mm_P0.5mm,210.0,-155.0,0.0,bottom
U4,SK9822,SK9822,166.5,-162.5,-45.0,top
U6,SK9822,SK9822,161.0,-157.0,-45.0,top
U7,IX4427,SOIC-8_3.9x4.9mm_P1.27mm,215.25,-140.5,0.0,top
U8,LT3757EMSE,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,207.400001,-82.5,0.0,top
Y1,Q13FC13500005,Crystal_SMD_3215-2Pin_3.2x1.5mm,212.249999,-160.5,180.0,top
Y2,TAXM8M4RDBCCT2T,Crystal_SMD_3225-4Pin_3.2x2.5mm,211.1,-166.95,180.0,bottom
